realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783141480986274,291,18751,-20794,-14694,-20226,0,0,0
1783141480990605,292,19685,-19913,-13395,-21109,0,0,0
1783141480994938,293,20577,-18989,-12043,-21908,0,0,0
1783141480998185,294,21426,-18026,-10644,-22621,0,0,0
1783141481002426,295,22230,-17025,-9203,-23245,0,0,0
1783141481006749,296,22987,-15988,-7725,-23777,0,0,0
1783141481011081,297,23696,-14917,-6217,-24215,0,0,0
1783141481014328,298,24355,-13815,-4684,-24558,0,0,0
1783141481018638,299,24962,-12684,-3133,-24803,0,0,0
1783141481022974,300,25517,-11526,-1569,-24951,0,0,0
1783141481026216,301,26019,-10344,0,-25001,0,0,0
1783141481030541,302,26466,-9140,1569,-24951,0,0,0
1783141481034869,303,26857,-7917,3133,-24803,0,0,0
1783141481039197,304,27192,-6677,4684,-24558,0,0,0
1783141481042449,305,27469,-5424,6217,-24215,0,0,0
1783141481046776,306,27689,-4159,7725,-23777,0,0,0
1783141481051111,307,27851,-2885,9203,-23245,0,0,0
1783141481054331,308,27954,-1605,10644,-22621,0,0,0
1783141481058628,309,27998,-322,12043,-21908,0,0,0
1783141481062966,310,27983,961,13395,-21109,0,0,0
1783141481066181,311,27909,2243,14694,-20226,0,0,0
1783141481070468,312,27777,3521,15935,-19263,0,0,0
1783141481074797,313,27586,4790,17113,-18225,0,0,0
1783141481079134,314,27338,6050,18224,-17114,0,0,0
1783141481082387,315,27032,7297,19262,-15936,0,0,0
1783141481086710,316,26668,8529,20225,-14695,0,0,0
1783141481091041,317,26249,9742,21108,-13396,0,0,0
1783141481094298,318,25775,10936,21907,-12044,0,0,0
1783141481098633,319,25246,12106,22620,-10645,0,0,0
1783141481102971,320,24665,13251,23244,-9204,0,0,0
1783141481106216,321,24031,14368,23776,-7726,0,0,0
1783141481110553,322,23347,15454,24214,-6218,0,0,0
1783141481114874,323,22614,16508,24557,-4685,0,0,0
1783141481119201,324,21833,17528,24802,-3134,0,0,0
1783141481122447,325,21007,18510,24950,-1570,0,0,0
1783141481126789,326,20136,19454,25000,-1,0,0,0
1783141481131123,327,19223,20357,24950,1568,0,0,0
1783141481134365,328,18269,21217,24802,3132,0,0,0
1783141481138688,329,17277,22032,24557,4683,0,0,0
1783141481143028,330,16249,22801,24214,6216,0,0,0
1783141481146281,331,15187,23522,23776,7724,0,0,0
1783141481150613,332,14092,24194,23244,9202,0,0,0
1783141481154937,333,12968,24814,22620,10643,0,0,0
1783141481158180,334,11817,25383,21907,12042,0,0,0
1783141481162466,335,10640,25898,21108,13394,0,0,0
1783141481166795,336,9442,26358,20225,14693,0,0,0
1783141481171122,337,8223,26764,19262,15934,0,0,0
1783141481174365,338,6988,27112,18224,17112,0,0,0
1783141481178699,339,5737,27404,17113,18223,0,0,0
1783141481183026,340,4475,27639,15935,19261,0,0,0
1783141481186268,341,3203,27815,14694,20224,0,0,0
1783141481190536,342,1924,27932,13395,21107,0,0,0
1783141481194870,343,642,27991,12043,21906,0,0,0
1783141481198126,344,-642,27991,10644,22619,0,0,0
1783141481202459,345,-1924,27932,9203,23243,0,0,0
1783141481206783,346,-3203,27815,7725,23775,0,0,0
1783141481211115,347,-4475,27639,6217,24213,0,0,0
1783141481214367,348,-5737,27404,4684,24556,0,0,0
1783141481218695,349,-6988,27112,3133,24801,0,0,0
1783141481223023,350,-8223,26764,1569,24949,0,0,0
1783141481226267,351,-9442,26358,0,24999,0,0,0
1783141481230548,352,-10640,25898,-1569,24949,0,0,0
1783141481234896,353,-11817,25383,-3133,24801,0,0,0
1783141481239229,354,-12968,24814,-4684,24556,0,0,0
1783141481242472,355,-14092,24194,-6217,24213,0,0,0
1783141481246816,356,-15187,23522,-7725,23775,0,0,0
1783141481251142,357,-16249,22801,-9203,23243,0,0,0
1783141481254386,358,-17277,22032,-10644,22619,0,0,0
1783141481258714,359,-18269,21217,-12043,21906,0,0,0
1783141481263041,360,-19223,20357,-13395,21107,0,0,0
1783141481266243,361,-20136,19454,-14694,20224,0,0,0
1783141481270545,362,-21007,18510,-15935,19261,0,0,0
1783141481274870,363,-21833,17528,-17113,18223,0,0,0
1783141481278112,364,-22614,16508,-18224,17112,0,0,0
1783141481282446,365,-23347,15454,-19262,15934,0,0,0
1783141481286779,366,-24031,14368,-20225,14693,0,0,0
1783141481291102,367,-24665,13251,-21108,13394,0,0,0
1783141481294350,368,-25246,12106,-21907,12042,0,0,0
1783141481298627,369,-25775,10936,-22620,10643,0,0,0
1783141481302955,370,-26249,9742,-23244,9202,0,0,0
1783141481306197,371,-26668,8529,-23776,7724,0,0,0
1783141481310532,372,-27032,7297,-24214,6216,0,0,0
1783141481314813,373,-27338,6050,-24557,4683,0,0,0
1783141481319135,374,-27586,4790,-24802,3132,0,0,0
1783141481322386,375,-27777,3521,-24950,1568,0,0,0
1783141481326718,376,0,-1,0,-1,0,0,0
1783141483827218,377,0,-28001,0,-25001,0,0,0
1783141483831558,378,1283,-27971,1569,-24951,0,0,0
1783141483834802,379,2564,-27883,3133,-24803,0,0,0
1783141483839127,380,3840,-27736,4684,-24558,0,0,0
1783141483843460,381,5107,-27531,6217,-24215,0,0,0
1783141483847787,382,6364,-27268,7725,-23777,0,0,0
1783141483851045,383,7608,-26947,9203,-23245,0,0,0
1783141483855379,384,8835,-26570,10644,-22621,0,0,0
1783141483859710,385,10044,-26137,12043,-21908,0,0,0
1783141483862954,386,11231,-25649,13395,-21109,0,0,0
1783141483867279,387,12396,-25107,14694,-20226,0,0,0
1783141483871616,388,13534,-24512,15935,-19263,0,0,0
1783141483875945,389,14643,-23866,17113,-18225,0,0,0
1783141483879194,390,15722,-23170,18224,-17114,0,0,0
1783141483883481,391,16768,-22424,19262,-15936,0,0,0
1783141483887821,392,17778,-21632,20225,-14695,0,0,0
1783141483891066,393,18751,-20794,21108,-13396,0,0,0
1783141483895382,394,19685,-19913,21907,-12044,0,0,0
1783141483899715,395,20577,-18989,22620,-10645,0,0,0
1783141483902960,396,21426,-18026,23244,-9204,0,0,0
1783141483907288,397,22230,-17025,23776,-7726,0,0,0
1783141483911623,398,22987,-15988,24214,-6218,0,0,0
1783141483915964,399,23696,-14917,24557,-4685,0,0,0
1783141483918147,400,24355,-13815,24802,-3134,0,0,0
1783141483922539,401,24962,-12684,24950,-1570,0,0,0
1783141483926864,402,25517,-11526,25000,-1,0,0,0
1783141483930074,403,26019,-10344,24950,1568,0,0,0
1783141483934391,404,26466,-9140,24802,3132,0,0,0
1783141483938691,405,26857,-7917,24557,4683,0,0,0
1783141483943018,406,27192,-6677,24214,6216,0,0,0
1783141483946272,407,27469,-5424,23776,7724,0,0,0
1783141483950606,408,27689,-4159,23244,9202,0,0,0
1783141483954932,409,27851,-2885,22620,10643,0,0,0
1783141483958182,410,27954,-1605,21907,12042,0,0,0
1783141483962464,411,27998,-322,21108,13394,0,0,0
1783141483966786,412,27983,961,20225,14693,0,0,0
1783141483970037,413,27909,2243,19262,15934,0,0,0
1783141483974378,414,27777,3521,18224,17112,0,0,0
1783141483978701,415,27586,4790,17113,18223,0,0,0
1783141483983031,416,27338,6050,15935,19261,0,0,0
1783141483986274,417,27032,7297,14694,20224,0,0,0
1783141483990594,418,26668,8529,13395,21107,0,0,0
1783141483994918,419,26249,9742,12043,21906,0,0,0
1783141483998168,420,25775,10936,10644,22619,0,0,0
1783141484002463,421,25246,12106,9203,23243,0,0,0
1783141484006787,422,24665,13251,7725,23775,0,0,0
1783141484010034,423,24031,14368,6217,24213,0,0,0
1783141484014364,424,23347,15454,4684,24556,0,0,0
1783141484018689,425,22614,16508,3133,24801,0,0,0
1783141484023023,426,21833,17528,1569,24949,0,0,0
1783141484026277,427,21007,18510,0,24999,0,0,0
1783141484030608,428,20136,19454,-1569,24949,0,0,0
1783141484034934,429,19223,20357,-3133,24801,0,0,0
1783141484038179,430,18269,21217,-4684,24556,0,0,0
1783141484042466,431,17277,22032,-6217,24213,0,0,0
1783141484046796,432,16249,22801,-7725,23775,0,0,0
1783141484051081,433,15187,23522,-9203,23243,0,0,0
1783141484054329,434,14092,24194,-10644,22619,0,0,0
1783141484058634,435,12968,24814,-12043,21906,0,0,0
1783141484062965,436,11817,25383,-13395,21107,0,0,0
1783141484066212,437,10640,25898,-14694,20224,0,0,0
1783141484070545,438,9442,26358,-15935,19261,0,0,0
1783141484074871,439,8223,26764,-17113,18223,0,0,0
1783141484078114,440,6988,27112,-18224,17112,0,0,0
1783141484082442,441,5737,27404,-19262,15934,0,0,0
1783141484086769,442,4475,27639,-20225,14693,0,0,0
1783141484091085,443,3203,27815,-21108,13394,0,0,0
1783141484094334,444,1924,27932,-21907,12042,0,0,0
1783141484098627,445,642,27991,-22620,10643,0,0,0
1783141484102954,446,-642,27991,-23244,9202,0,0,0
1783141484106200,447,-1924,27932,-23776,7724,0,0,0
1783141484110532,448,-3203,27815,-24214,6216,0,0,0
1783141484114859,449,-4475,27639,-24557,4683,0,0,0
1783141484119158,450,-5737,27404,-24802,3132,0,0,0
1783141484122382,451,-6988,27112,-24950,1568,0,0,0
1783141484126710,452,-8223,26764,-25000,-1,0,0,0
1783141484131037,453,-9442,26358,-24950,-1570,0,0,0
1783141484134280,454,-10640,25898,-24802,-3134,0,0,0
1783141484138614,455,-11817,25383,-24557,-4685,0,0,0
1783141484142915,456,-12968,24814,-24214,-6218,0,0,0
1783141484146164,457,-14092,24194,-23776,-7726,0,0,0
1783141484150466,458,-15187,23522,-23244,-9204,0,0,0
