realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783106908756444,23712,-2564,-27883,-24557,4683,0,0,0
1783106908757522,23716,-1283,-27971,-24802,3132,0,0,0
1783106908758665,23720,0,-28001,-24950,1568,0,0,0
1783106908759700,23723,1283,-27971,-25000,1568,0,0,0
1783106908760812,23727,2564,-27883,-24950,-1,0,0,0
1783106908761892,23730,3840,-27736,-24950,-1570,0,0,0
1783106908762934,23734,5107,-27531,-24802,-3134,0,0,0
1783106908764073,23738,6364,-27268,-24557,-4685,0,0,0
1783106908765145,23741,7608,-27268,-24214,-6218,0,0,0
1783106908766228,23745,8835,-26947,-23776,-7726,0,0,0
1783106908767312,23748,8835,-26570,-23244,-9204,0,0,0
1783106908768394,23752,10044,-26137,-22620,-10645,0,0,0
1783106908769476,23755,11231,-25649,-21907,-10645,0,0,0
1783106908770557,23759,12396,-25107,-21108,-12044,0,0,0
1783106908771617,23762,13534,-24512,-21108,-13396,0,0,0
1783106908772698,23766,14643,-23866,-20225,-14695,0,0,0
1783106908773777,23769,15722,-23866,-19262,-15936,0,0,0
1783106908774896,23773,16768,-23170,-18224,-17114,0,0,0
1783106908775979,23776,16768,-22424,-17113,-18225,0,0,0
1783106908777060,23780,17778,-21632,-15935,-19263,0,0,0
1783106908778188,23784,18751,-20794,-14694,-20226,0,0,0
1783106908779268,23787,19685,-19913,-13395,-20226,0,0,0
1783106908780368,23791,20577,-18989,-12043,-21109,0,0,0
1783106908781454,23794,21426,-18026,-12043,-21908,0,0,0
1783106908782535,23798,22230,-17025,-10644,-22621,0,0,0
1783106908783639,23802,22987,-15988,-9203,-23245,0,0,0
1783106908784720,23805,23696,-15988,-7725,-23777,0,0,0
1783106908785801,23809,24355,-14917,-6217,-24215,0,0,0
1783106908786889,23812,24355,-13815,-4684,-24558,0,0,0
1783106908787970,23816,24962,-12684,-3133,-24803,0,0,0
1783106908789073,23820,25517,-11526,-1569,-24951,0,0,0
1783106908790142,23823,26019,-10344,0,-24951,0,0,0
