realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783106938513754,226,-27998,-322,14694,20224,0,0,0
1783106938514906,227,-27954,-1605,13395,21107,0,0,0
1783106938516054,228,-27851,-2885,12043,21906,0,0,0
1783106938517138,229,-27689,-4159,10644,22619,0,0,0
1783106938518223,230,-27469,-5424,9203,23243,0,0,0
1783106938519341,231,-27192,-6677,7725,23775,0,0,0
1783106938520426,232,-26466,-9140,4684,24556,0,0,0
1783106938521511,233,-26019,-10344,3133,24801,0,0,0
1783106938522596,234,-25517,-11526,1569,24949,0,0,0
1783106938523674,235,-24962,-12684,0,24999,0,0,0
1783106938524757,236,-24355,-13815,-1569,24949,0,0,0
1783106938525868,237,-23696,-14917,-3133,24801,0,0,0
1783106938526954,238,-22987,-15988,-4684,24556,0,0,0
1783106938528064,239,-22230,-17025,-6217,24213,0,0,0
1783106938529142,240,-21426,-18026,-7725,23775,0,0,0
1783106938530275,241,-20577,-18989,-9203,23243,0,0,0
1783106938531381,242,-18751,-20794,-12043,21906,0,0,0
1783106938532463,243,-17778,-21632,-13395,21107,0,0,0
1783106938533570,244,-16768,-22424,-14694,20224,0,0,0
1783106938534652,245,-15722,-23170,-15935,19261,0,0,0
1783106938535753,246,-14643,-23866,-17113,18223,0,0,0
1783106938536886,247,-13534,-24512,-18224,17112,0,0,0
1783106938537967,248,-12396,-25107,-19262,15934,0,0,0
1783106938540176,250,-10044,-26137,-21108,13394,0,0,0
1783106938541293,251,-8835,-26570,-21907,12042,0,0,0
1783106938542418,252,-6364,-27268,-23244,9202,0,0,0
1783106938543504,253,-5107,-27531,-23776,7724,0,0,0
1783106938544586,254,-3840,-27736,-24214,6216,0,0,0
1783106938545670,255,-2564,-27883,-24557,4683,0,0,0
1783106938546752,256,-1283,-27971,-24802,3132,0,0,0
1783106938547868,257,0,-28001,-24950,1568,0,0,0
1783106938548950,258,1283,-27971,-25000,-1,0,0,0
1783106938550059,259,2564,-27883,-24950,-1570,0,0,0
1783106938551167,260,3840,-27736,-24802,-3134,0,0,0
1783106938552251,261,5107,-27531,-24557,-4685,0,0,0
1783106938553356,262,6364,-27268,-24214,-6218,0,0,0
1783106938554485,263,8835,-26570,-23244,-9204,0,0,0
1783106938555572,264,10044,-26137,-22620,-10645,0,0,0
