realtime_us,slot,connected,packet,lx,ly,rx,ry,lt,rt,buttons
1783142927776444,0,1,1410,-10640,25898,22541,10809,0,0,0
1783142927776453,1,1,1412,-7561,-20660,8315,18584,0,0,1
1783142927777518,0,1,1412,-10640,25898,21857,12133,0,0,0
1783142927777526,1,1,1413,-7561,-20660,8315,18188,0,0,1
1783142927780747,0,1,1414,-11817,25383,21857,12133,0,0,0
1783142927780759,1,1,1415,-8407,-20331,8315,18188,0,0,1
1783142927781826,0,1,1416,-11817,25383,21095,13414,0,0,0
1783142927781835,1,1,1417,-8407,-20331,9222,17745,0,0,1
1783142927785045,0,1,1417,-12968,25383,21095,13414,0,0,0
1783142927785054,1,1,1419,-9239,-19966,9222,17745,0,0,1
1783142927786121,0,1,1420,-12968,24814,20259,14647,0,0,0
1783142927786129,1,1,1421,-9239,-19966,10105,17258,0,0,1
1783142927788267,0,1,1421,-14092,24814,20259,14647,0,0,0
1783142927788277,1,1,1422,-10055,-19966,10105,17258,0,0,1
1783142927789342,0,1,1424,-14092,24194,19350,15828,0,0,0
1783142927789351,1,1,1425,-10055,-19568,10963,16726,0,0,1
1783142927792542,0,1,1425,-15187,24194,19350,15828,0,0,0
1783142927792553,1,1,1426,-10854,-19568,10963,16726,0,0,1
1783142927793618,0,1,1428,-15187,23522,18372,16953,0,0,0
1783142927793626,1,1,1429,-10854,-19137,11792,16152,0,0,1
1783142927796836,0,1,1429,-16249,23522,18372,16953,0,0,0
1783142927796847,1,1,1430,-11634,-19137,11792,16152,0,0,1
1783142927797912,0,1,1432,-16249,22801,17329,18017,0,0,0
1783142927797920,1,1,1433,-11634,-18672,12592,15537,0,0,1
1783142927801128,0,1,1433,-17277,22801,17329,18017,0,0,0
1783142927801138,1,1,1434,-12395,-18672,12592,15537,0,0,1
1783142927802207,0,1,1435,-17277,22032,16225,18017,0,0,0
1783142927802217,1,1,1436,-12395,-18176,13359,15537,0,0,1
1783142927803283,0,1,1436,-17277,22032,16225,19018,0,0,0
1783142927803291,1,1,1437,-12395,-18176,13359,14882,0,0,1
1783142927804365,0,1,1437,-18269,22032,16225,19018,0,0,0
1783142927804375,1,1,1438,-13134,-18176,13359,14882,0,0,1
1783142927805444,0,1,1440,-18269,21217,15063,19951,0,0,0
1783142927805456,1,1,1440,-13134,-17649,14093,14882,0,0,1
1783142927806530,1,1,1441,-13134,-17649,14093,14189,0,0,1
1783142927808678,0,1,1441,-19223,21217,15063,19951,0,0,0
1783142927808690,1,1,1442,-13851,-17649,14093,14189,0,0,1
1783142927809759,0,1,1443,-19223,20357,13847,19951,0,0,0
1783142927809769,1,1,1444,-13851,-17092,14791,14189,0,0,1
1783142927810834,0,1,1444,-19223,20357,13847,20813,0,0,0
1783142927810842,1,1,1445,-13851,-17092,14791,13460,0,0,1
1783142927813001,0,1,1445,-20136,20357,13847,20813,0,0,0
1783142927813013,1,1,1446,-14545,-17092,14791,13460,0,0,1
