realtime_us,slot,connected,packet,lx,ly,rx,ry,lt,rt,buttons
1783108429124511,0,1,123,-16768,-22424,21688,-12434,0,0,0
1783108429124529,1,1,126,7844,20552,19939,1556,0,0,0
1783108429125612,0,1,124,-15722,-23170,22391,-11120,0,0,0
1783108429125630,1,1,127,8686,20211,19992,549,0,0,0
1783108429126713,0,1,125,-14643,-23866,23013,-9766,0,0,0
1783108429126758,1,1,128,9512,19835,19994,-459,0,0,0
1783108429127842,0,1,126,-13534,-24512,23554,-8377,0,0,0
1783108429127860,1,1,129,10323,19426,19946,-1467,0,0,0
1783108429128941,0,1,127,-12396,-25107,24012,-6959,0,0,0
1783108429128958,1,1,130,11116,18983,19846,-2471,0,0,0
1783108429130042,0,1,128,-11231,-25649,24384,-5516,0,0,0
1783108429130059,1,1,131,11890,18509,19697,-3468,0,0,0
1783108429131143,0,1,129,-10044,-26137,24669,-4053,0,0,0
1783108429131161,1,1,132,12643,18002,19497,-4457,0,0,0
1783108429132247,0,1,130,-7608,-26947,24976,-1089,0,0,0
1783108429132268,1,1,133,13376,17465,19247,-5435,0,0,0
1783108429133352,0,1,131,-6364,-27268,24996,400,0,0,0
1783108429133369,1,1,135,14770,16303,18602,-7346,0,0,0
1783108429134448,0,1,132,-5107,-27531,24928,1889,0,0,0
1783108429134465,1,1,136,15430,15679,18208,-8275,0,0,0
1783108429135545,0,1,133,-3840,-27736,24771,3371,0,0,0
1783108429135563,1,1,137,16064,15029,17767,-9182,0,0,0
1783108429136644,0,1,134,-2564,-27883,24526,4841,0,0,0
1783108429136703,1,1,138,16671,14353,17282,-10067,0,0,0
1783108429137806,1,1,139,17249,13653,16752,-10925,0,0,0
1783108429138902,0,1,136,0,-28001,23776,7724,0,0,0
1783108429138978,1,1,140,17798,12930,16180,-11756,0,0,0
1783108429140038,1,1,141,18316,12184,15566,-12557,0,0,0
1783108429141121,0,1,137,1283,-27971,23273,9127,0,0,0
1783108429142216,0,1,138,2564,-27883,22688,10498,0,0,0
1783108429142233,1,1,142,18804,11418,14913,-13326,0,0,0
1783108429143318,0,1,139,5107,-27531,21278,13122,0,0,0
1783108429143336,1,1,143,19681,9829,13495,-14761,0,0,0
1783108429144423,0,1,140,6364,-27268,20458,14367,0,0,0
1783108429144439,1,1,144,20070,9008,12734,-15422,0,0,0
1783108429145523,0,1,141,7608,-26947,19566,15560,0,0,0
1783108429145540,1,1,145,20425,8172,11940,-16045,0,0,0
1783108429146624,0,1,142,8835,-26570,18604,16698,0,0,0
1783108429146641,1,1,146,20745,7322,11116,-16627,0,0,0
1783108429147725,0,1,143,10044,-26137,17576,17777,0,0,0
1783108429147742,1,1,147,21029,6460,10263,-17166,0,0,0
1783108429148828,0,1,144,11231,-25649,16485,18793,0,0,0
1783108429148846,1,1,148,21278,5587,9384,-17662,0,0,0
1783108429149932,0,1,145,12396,-25107,15336,19742,0,0,0
1783108429149947,1,1,149,21490,4704,8482,-18113,0,0,0
1783108429151036,0,1,146,13534,-24512,14132,20621,0,0,0
1783108429151054,1,1,150,21666,3813,7558,-18517,0,0,0
1783108429152138,0,1,147,14643,-23866,12878,21426,0,0,0
1783108429152155,1,1,151,21805,2916,6614,-18875,0,0,0
1783108429153234,0,1,148,15722,-23170,11579,22155,0,0,0
1783108429153251,1,1,152,21907,2014,5654,-19184,0,0,0
1783108429154335,0,1,149,16768,-22424,10238,22806,0,0,0
1783108429154352,1,1,153,21972,1108,4680,-19445,0,0,0
1783108429155435,0,1,150,17778,-21632,8860,23375,0,0,0
1783108429155456,1,1,154,21999,200,3693,-19656,0,0,0
1783108429156542,0,1,151,18751,-20794,7452,23862,0,0,0
